"return_name","recipient","mandate_source","service_trigger","owner_team","reporting_frequency","next_due_date","source_system","assurance_status","risk","issues","confidence","reference_url","reference_type","escalation_route"
"MHSDS","NHS England","Statutory","All age MH services","Performance & BI","Monthly","2026-04-15","Data warehouse (demo)","In production","Medium","Validate against MHSDS guidance; coding QA pending","Confirmed","https://digital.nhs.uk/data-and-information/publications/statistical/mental-health-services-monthly-statistics","Public reference","Performance Manager"
"CSDS","NHS England","Statutory","Community services","Performance & BI","Monthly","2026-04-15","Data warehouse (demo)","In production","Medium","Community metrics require coding QA each month","Confirmed","https://digital.nhs.uk/data-and-information/publications/statistical/community-services-statistics-for-children-young-people-and-adults","Public reference","Information Lead"
"NHS Talking Therapies","NHS England","Contractual","IAPT / Talking Therapies","MH Performance Team","Monthly","2026-04-10","Manual + DWH (demo)","In production","Low","Recovery target tracking in place","Likely","https://digital.nhs.uk/data-and-information/publications/statistical/nhs-talking-therapies-monthly-statistics-including-employment-advisors","Public reference","MH Performance Manager"
"ECDS / urgent care","NHS England","Statutory","Urgent care / ED","Urgent Care BI","Monthly","2026-04-20","ED system extract (demo)","Needs validation","High","ECDS scope needs local confirmation","Conditional","https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/","Public reference","Urgent Care Director"
"KH03 bed occupancy","NHS England","Statutory","Inpatient beds","Bed Management / BI","Quarterly","2026-04-30","Bed management system (demo)","In production","Low","KH03 reconciled with bed state each quarter","Confirmed","https://www.england.nhs.uk/statistics/statistical-work-areas/bed-availability-and-occupancy/bed-data-overnight/","Public reference","Bed Management Lead"
"RTT","NHS England","Statutory","Elective / diagnostics","Performance & BI","Monthly","2026-04-15","Data warehouse (demo)","Needs validation","High","RTT incomplete for some pathways","Conditional","https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/","Public reference","Performance Manager"
"DM01 audiology/diagnostics","NHS England","Statutory","Audiology / diagnostics","Diagnostics PMO","Monthly","2026-04-12","DM01 portal + manual (demo)","Manual process","Medium","Audiology DM01 partially manual","Likely","https://www.england.nhs.uk/statistics/statistical-work-areas/diagnostics-waiting-times-and-activity/","Public reference","Diagnostics PMO"
"CYP eating disorder waits","NHS England","National standard","CYP ED pathway","CYP Performance","Monthly","2026-04-08","CYP pathway system (demo)","In production","High","National ED access standard — high scrutiny","Confirmed","https://www.england.nhs.uk/mental-health/cyp/trailblazers/ed/","Public reference","CYP Director"
"KO41a complaints","NHS England","Statutory","All services","Complaints Team","Quarterly","2026-04-30","Complaints system (demo)","In production","Low","KO41a aligned with complaints policy","Confirmed","https://digital.nhs.uk/data-and-information/publications/statistical/data-on-written-complaints-in-the-nhs/2024-25","Public reference","Complaints Manager"
"FFT","NHS England","Statutory","All services","Patient Experience","Monthly","2026-04-05","FFT platform (demo)","In production","Low","FFT response rates monitored","Confirmed","https://www.england.nhs.uk/fft/","Public reference","Patient Experience Lead"
"ERIC","NHS England","Statutory","Estates / facilities","Estates & Facilities","Annual","2026-05-31","Estates system (demo)","Under review","Low","ERIC annual cycle — estates data lag possible","Likely","https://digital.nhs.uk/data-and-information/publications/statistical/estates-returns-information-collection/summary-page-and-dataset-for-eric-2024-25","Public reference","Estates Director"
"DSPT","NHS England","Statutory","All Trust","IG / IT Security","Annual","2026-05-31","Corporate IG system (demo)","In production","Medium","DSPT annual assessment","Confirmed","https://www.dsptoolkit.nhs.uk/","Public reference","IG Lead"
"CQC notifications","CQC","Regulatory","Regulated activities","Quality & Governance","Ad hoc","Ad hoc","Manual notification (demo)","Manual process","High","CQC notifications require clinical sign-off","Confirmed","https://www.cqc.org.uk/guidance-regulation/providers/notifications","Public reference","Medical Director"
"WRES / WDES / EDS","NHS England","Statutory","Workforce / EDI","Workforce / OD","Annual","2026-05-31","ESR + manual (demo)","In production","Low","Workforce data from ESR — extract delay possible","Confirmed","https://www.england.nhs.uk/publication/nhs-workforce-race-equality-standard/","Public reference","Workforce Director"
