"Organisation_Code","Sector","Number_Of_Beds","Effective_Snapshot_Date"
"RDY","Learning Disabilities","0","31/03/2019"
"RDY","Learning Disabilities","0","30/09/2020"
"RDY","Maternity","0","30/06/2012"
"RDY","General & Acute","0","31/03/2019"
"RDY","Mental Illness","169.826087","30/09/2020"
"RDY","Learning Disabilities","0","30/06/2012"
"RDY","Mental Illness","215.233333","31/03/2019"
"RDY","General & Acute","0","30/06/2012"
"RDY","Mental Illness","78.054945","30/06/2012"
"RDY","Maternity","0","31/03/2019"
"RDY","Mental Illness","175.692308","30/06/2023"
"RDY","Learning Disabilities","0","30/09/2022"
"RDY","Maternity","0","30/06/2023"
"RDY","General & Acute","0","30/09/2022"
"RDY","Learning Disabilities","0","30/06/2023"
"RDY","Mental Illness","170.5","30/09/2022"
"RDY","Maternity","0","30/09/2020"
"RDY","General & Acute","0","30/09/2020"
"RDY","General & Acute","0","30/06/2023"
"RDY","Learning Disabilities","0","30/09/2019"
"RDY","Maternity","0","30/09/2022"
"RDY","Mental Illness","211.695652","31/12/2017"
"RDY","Learning Disabilities","0","30/09/2012"
"RDY","Maternity","0","31/12/2017"
"RDY","General & Acute","0","30/09/2019"
"RDY","Maternity","0","30/09/2019"
"RDY","Learning Disabilities","0","31/12/2017"
"RDY","General & Acute","0","30/09/2012"
"RDY","Mental Illness","211.163043","30/09/2019"
"RDY","General & Acute","0","31/12/2017"
"RDY","Maternity","0","31/03/2020"
"RDY","Mental Illness","80.576087","30/09/2012"
"RDY","Mental Illness","0","31/03/2010"
"RDY","Learning Disabilities","0","31/03/2020"
"RDY","General & Acute","0","31/03/2020"
"RDY","Maternity","0","30/09/2012"
"RDY","Mental Illness","164.604396","30/06/2022"
"RDY","Mental Illness","201.494505","31/03/2020"
"RDY","Maternity","0","31/03/2010"
"RDY","Maternity","0","30/06/2022"
"RDY","Learning Disabilities","0","31/03/2018"
"RDY","Learning Disabilities","0","30/06/2022"
"RDY","General & Acute","0","31/03/2018"
"RDY","General & Acute","0","30/06/2022"
"RDY","Mental Illness","166.586957","30/09/2021"
"RDY","Mental Illness","210.977778","31/03/2018"
"RDY","Learning Disabilities","0","30/06/2014"
"RDY","Maternity","0","30/09/2021"
"RDY","Learning Disabilities","0","30/09/2021"
"RDY","Maternity","0","31/03/2018"
"RDY","General & Acute","0","30/06/2014"
"RDY","Mental Illness","0","30/06/2014"
"RDY","General & Acute","0","30/06/2016"
"RDY","General & Acute","0","30/09/2021"
"RDY","Maternity","0","30/06/2014"
"RDY","Mental Illness","212.747253","30/06/2016"
"RDY","Maternity","0","30/06/2016"
"RDY","General & Acute","0","31/12/2018"
"RDY","Mental Illness","287.122951","31/03/2004"
"RDY","Learning Disabilities","0","30/06/2016"
"RDY","Learning Disabilities","0","31/12/2012"
"RDY","General & Acute","0","31/12/2012"
"RDY","Maternity","0","31/03/2004"
"RDY","Maternity","0","31/12/2018"
"RDY","Learning Disabilities","0","31/12/2018"
"RDY","Mental Illness","0","30/06/2013"
"RDY","Mental Illness","83.293478","31/12/2012"
"RDY","Maternity","0","30/06/2013"
"RDY","Learning Disabilities","0","30/06/2013"
"RDY","Maternity","0","31/12/2012"
"RDY","General & Acute","0","30/06/2013"
"RDY","Learning Disabilities","0","30/06/2017"
"RDY","Mental Illness","213.413043","31/12/2018"
"RDY","General & Acute","0","30/06/2017"
"RDY","General & Acute","0","30/09/2018"
"RDY","Mental Illness","217.532609","30/09/2018"
"RDY","Mental Illness","213.164835","30/06/2017"
"RDY","Maternity","0","30/09/2018"
"RDY","Learning Disabilities","0","30/09/2018"
"RDY","Mental Illness","262.947945","31/03/2007"
"RDY","Maternity","0","30/06/2017"
"RDY","Maternity","0","31/03/2007"
"RDY","Learning Disabilities","0","31/03/2012"
"RDY","Mental Illness","160.355556","31/03/2022"
"RDY","Maternity","0","31/03/2022"
"RDY","General & Acute","165.131868","31/03/2012"
"RDY","Learning Disabilities","0","31/03/2022"
"RDY","Maternity","0","31/03/2013"
"RDY","Mental Illness","77.164835","31/03/2012"
"RDY","General & Acute","0","31/03/2022"
"RDY","Maternity","0","30/09/2013"
"RDY","Maternity","0","31/03/2012"
"RDY","Learning Disabilities","0","30/09/2013"
"RDY","Mental Illness","0","30/09/2013"
"RDY","General & Acute","0","30/09/2013"
"RDY","Learning Disabilities","0","31/03/2013"
"RDY","Learning Disabilities","0","31/03/2021"
"RDY","General & Acute","0","31/03/2013"
"RDY","General & Acute","0","31/03/2021"
"RDY","Maternity","0","31/03/2021"
"RDY","Mental Illness","164.554348","31/12/2021"
"RDY","Mental Illness","65.266667","31/03/2013"
"RDY","Maternity","0","31/12/2021"
"RDY","Mental Illness","211.692308","31/03/2016"
"RDY","Learning Disabilities","0","31/12/2021"
"RDY","Mental Illness","147.077778","31/03/2021"
"RDY","General & Acute","0","31/12/2021"
"RDY","Maternity","0","31/03/2016"
"RDY","General & Acute","0","31/12/2014"
"RDY","Learning Disabilities","0","30/06/2018"
"RDY","Learning Disabilities","0","31/03/2016"
"RDY","Maternity","0","30/06/2018"
"RDY","Mental Illness","0","31/12/2014"
"RDY","General & Acute","0","30/06/2018"
"RDY","General & Acute","0","31/03/2016"
"RDY","Maternity","0","31/12/2014"
"RDY","Mental Illness","212.703297","30/06/2018"
"RDY","Learning Disabilities","0","31/12/2014"
"RDY","Mental Illness","215.076087","30/09/2017"
"RDY","Mental Illness","211.549451","30/06/2019"
"RDY","Maternity","0","30/06/2019"
"RDY","Maternity","0","31/03/2006"
"RDY","Learning Disabilities","0","30/06/2019"
"RDY","Maternity","0","30/09/2017"
"RDY","General & Acute","0","30/06/2019"
"RDY","Learning Disabilities","0","30/09/2017"
"RDY","General & Acute","0","30/09/2017"
"RDY","Mental Illness","279.972603","31/03/2006"
"RDY","Learning Disabilities","0","31/12/2013"
"RDY","General & Acute","0","31/12/2013"
"RDY","Mental Illness","293.060274","31/03/2005"
"RDY","Mental Illness","0","31/12/2013"
"RDY","Maternity","0","31/03/2005"
"RDY","Maternity","0","31/12/2013"
"RDY","Maternity","0","31/03/2003"
"RDY","Mental Illness","301.2","31/03/2003"
"RDY","Mental Illness","198.934783","30/09/2015"
"RDY","Maternity","0","30/09/2015"
"RDY","Learning Disabilities","0","30/09/2015"
"RDY","General & Acute","0","30/09/2015"
"RDY","Mental Illness","173.771739","31/12/2023"
"RDY","Maternity","0","31/12/2023"
"RDY","Learning Disabilities","0","31/12/2023"
"RDY","General & Acute","0","31/12/2023"
"RDY","Maternity","0","30/09/2016"
"RDY","Learning Disabilities","0","30/09/2016"
"RDY","General & Acute","0","30/09/2016"
"RDY","Mental Illness","208.26087","30/09/2016"
"RDY","Mental Illness","176.846154","30/06/2024"
"RDY","Maternity","0","30/06/2024"
"RDY","Mental Illness","155.186813","30/06/2021"
"RDY","Maternity","0","30/06/2021"
"RDY","Learning Disabilities","0","30/06/2024"
"RDY","General & Acute","0","30/06/2024"
"RDY","Learning Disabilities","0","30/06/2021"
"RDY","General & Acute","0","30/06/2021"
"RDY","General & Acute","163.608696","30/09/2011"
"RDY","Mental Illness","85.923913","30/09/2011"
"RDY","Maternity","0","30/09/2011"
"RDY","Maternity","0","31/03/2002"
"RDY","Mental Illness","319.210959","31/03/2002"
"RDY","Learning Disabilities","0","30/09/2011"
"RDY","General & Acute","0","31/12/2015"
"RDY","Mental Illness","204.706522","31/12/2015"
"RDY","Maternity","0","31/12/2015"
"RDY","Learning Disabilities","0","31/12/2015"
"RDY","Maternity","0","31/12/2020"
"RDY","General & Acute","0","31/12/2020"
"RDY","Learning Disabilities","0","31/12/2020"
"RDY","Mental Illness","158.880435","31/12/2020"
"RDY","Mental illness","298.939726","31/03/2001"
"RDY","Maternity","NULL","31/03/2001"
"RDY","Mental Illness","0","31/03/2008"
"RDY","Maternity","0","31/03/2008"
"RDY","Maternity","0","31/03/2015"
"RDY","Learning Disabilities","0","31/03/2015"
"RDY","General & Acute","0","31/03/2015"
"RDY","Mental Illness","0","31/03/2015"
"RDY","Learning Disabilities","0","30/06/2020"
"RDY","Mental Illness","164.879121","30/06/2020"
"RDY","Maternity","0","30/06/2020"
"RDY","General & Acute","0","30/06/2020"
"RDY","Mental Illness","79.913043","31/12/2011"
"RDY","Maternity","0","31/12/2011"
"RDY","Learning Disabilities","0","31/12/2011"
"RDY","General & Acute","160.771739","31/12/2011"
"RDY","Mental Illness","211.836957","31/12/2019"
"RDY","Maternity","0","31/12/2019"
"RDY","Learning Disabilities","0","31/12/2019"
"RDY","General & Acute","0","31/12/2019"
"RDY","Mental Illness","0","31/03/2014"
"RDY","Maternity","0","31/03/2014"
"RDY","Learning Disabilities","0","31/03/2014"
"RDY","General & Acute","0","31/03/2014"
"RDY","Learning Disabilities","0","30/09/2014"
"RDY","General & Acute","0","30/09/2014"
"RDY","Mental Illness","0","30/09/2014"
"RDY","Maternity","0","30/09/2014"
"RDY","Mental Illness","199.51087","31/12/2022"
"RDY","Maternity","0","31/12/2022"
"RDY","Learning Disabilities","0","31/12/2022"
"RDY","General & Acute","0","31/12/2022"
"RDY","General & Acute","0","31/03/2017"
"RDY","Mental Illness","218.433333","31/03/2017"
"RDY","Maternity","0","31/03/2017"
"RDY","Learning Disabilities","0","31/03/2017"
"RDY","Mental Illness","0","31/03/2009"
"RDY","Maternity","0","31/03/2009"
"RDY","Learning Disabilities","0","31/12/2016"
"RDY","General & Acute","0","31/12/2016"
"RDY","Mental Illness","210.043478","31/12/2016"
"RDY","Maternity","0","31/12/2016"
"RDY","Mental Illness","173.771739","30/09/2023"
"RDY","Maternity","0","30/09/2023"
"RDY","Learning Disabilities","0","30/09/2023"
"RDY","General & Acute","0","30/09/2023"
"RDY","Mental Illness","178.241758","31/03/2024"
"RDY","Maternity","0","31/03/2024"
"RDY","Learning Disabilities","0","31/03/2024"
"RDY","General & Acute","0","31/03/2024"
"RDY","Mental Illness","0","30/06/2015"
"RDY","Maternity","0","30/06/2015"
"RDY","Learning Disabilities","0","30/06/2015"
"RDY","General & Acute","0","30/06/2015"
"RDY","Maternity","0","31/03/2023"
"RDY","Learning Disabilities","0","31/03/2023"
"RDY","General & Acute","0","31/03/2023"
"RDY","Mental Illness","170.8","31/03/2023"
